a = -230.610201; b = 3511718.077515; cout = 9634090322012.396484
a = 79081.872904; b = 4695470.752903; cout = 8952084241469.757812
a = 79083.305087; b = 4705335.263053; cout = 8973792640534.095703
a = 79084.737270; b = 4715199.773202; cout = 8995696394640.757812
a = 79086.169453; b = 4725064.283351; cout = 9017795503789.736328
a = 79087.601636; b = 4734928.793501; cout = 9040089967981.029297
a = 79089.033819; b = 4744793.303650; cout = 9062579787214.648438
a = 79090.466001; b = 4754657.813800; cout = 9085264961490.576172
a = 79091.898184; b = 4764522.323949; cout = 9108145490808.826172
a = 79093.330367; b = 4774386.834098; cout = 9131221375169.396484
a = 79094.762550; b = 4784251.344248; cout = 9154492614572.283203
a = 79096.194733; b = 4794115.854397; cout = 9177959209017.490234
a = 79097.626916; b = 4803980.364546; cout = 9201621158505.011719
a = 79099.059099; b = 4813844.874696; cout = 9225478463034.849609
a = 79100.491282; b = 4823709.384845; cout = 9249531122607.005859
a = 79101.923465; b = 4833573.894994; cout = 9273779137221.484375
a = 79103.355648; b = 4843438.405144; cout = 9298222506878.277344
a = 79104.787831; b = 4853302.915293; cout = 9322861231577.388672
a = 79106.220014; b = 4863167.425443; cout = 9347695311318.814453
a = 79107.652197; b = 4873031.935592; cout = 9372724746102.564453
a = 79109.084380; b = 4882896.445741; cout = 9397949535928.632812
a = 79110.516563; b = 4892760.955891; cout = 9423369680797.017578
a = 79111.948746; b = 4902625.466040; cout = 9448985180707.714844
a = 79113.380929; b = 4912489.976189; cout = 9474796035660.736328
a = 79114.813112; b = 4922354.486339; cout = 9500802245656.072266
a = 79116.245295; b = 4932218.996488; cout = 9527003810693.728516
a = 79117.677478; b = 4942083.506638; cout = 9553400730773.695312
a = 79119.109661; b = 4951948.016787; cout = 9579993005895.986328
a = 79120.541844; b = 4961812.526936; cout = 9606780636060.597656
a = 79121.974027; b = 4971677.037086; cout = 9633763621267.525391
a = 88597.786423; b = 2101106.015802; cout = 9636540490270.505859
a = 88599.218606; b = 2110970.525951; cout = 9609706975910.144531
a = 88600.650789; b = 2120835.036101; cout = 9583068816592.099609
a = 88602.082972; b = 2130699.546250; cout = 9556626012316.373047
a = 88603.515155; b = 2140564.056399; cout = 9530378563082.962891
a = 88604.947338; b = 2150428.566549; cout = 9504326468891.876953
a = 88606.379521; b = 2160293.076698; cout = 9478469729743.101562
a = 88607.811704; b = 2170157.586847; cout = 9452808345636.650391
a = 88609.243887; b = 2180022.096997; cout = 9427342316572.509766
a = 88610.676070; b = 2189886.607146; cout = 9402071642550.693359
a = 88612.108253; b = 2199751.117295; cout = 9376996323571.195312
a = 88613.540436; b = 2209615.627445; cout = 9352116359634.013672
a = 88614.972619; b = 2219480.137594; cout = 9327431750739.150391
a = 88616.404802; b = 2229344.647744; cout = 9302942496886.601562
a = 88617.836985; b = 2239209.157893; cout = 9278648598076.373047
a = 88619.269168; b = 2249073.668042; cout = 9254550054308.462891
a = 88620.701351; b = 2258938.178192; cout = 9230646865582.871094
a = 88622.133534; b = 2268802.688341; cout = 9206939031899.599609
a = 88623.565717; b = 2278667.198490; cout = 9183426553258.636719
a = 88624.997900; b = 2288531.708640; cout = 9160109429659.996094
a = 88626.430083; b = 2298396.218789; cout = 9136987661103.677734
a = 88627.862266; b = 2308260.728939; cout = 9114061247589.675781
a = 88629.294449; b = 2318125.239088; cout = 9091330189117.990234
a = 88630.726632; b = 2327989.749237; cout = 9068794485688.621094
a = 88632.158815; b = 2337854.259387; cout = 9046454137301.574219
a = 88633.590998; b = 2347718.769536; cout = 9024309143956.837891
a = 88635.023181; b = 2357583.279685; cout = 9002359505654.429688
a = 88636.455364; b = 2367447.789835; cout = 8980605222394.330078
a = 88637.887547; b = 2377312.299984; cout = 8959046294176.552734
a = 88639.319730; b = 2387176.810134; cout = 8937682721001.095703
a = 88640.751913; b = 2397041.320283; cout = 8916514502867.955078
a = 88642.184096; b = 2406905.830432; cout = 8895541639777.126953
a = 88643.616279; b = 2416770.340582; cout = 8874764131728.617188
a = 88645.048462; b = 2426634.850731; cout = 8854181978722.433594
a = 88646.480645; b = 2436499.360880; cout = 8833795180758.564453
a = 88647.912828; b = 2446363.871030; cout = 8813603737837.007812
a = 88649.345011; b = 2456228.381179; cout = 8793607649957.776367
a = 88650.777194; b = 2466092.891328; cout = 8773806917120.859375
a = 88652.209377; b = 2475957.401478; cout = 8754201539326.262695
a = 88653.641560; b = 2485821.911627; cout = 8734791516573.982422
a = 88655.073743; b = 2495686.421777; cout = 8715576848864.019531
a = 88656.505926; b = 2505550.931926; cout = 8696557536196.373047
a = 88657.938109; b = 2515415.442075; cout = 8677733578571.045898
a = 88659.370292; b = 2525279.952225; cout = 8659104975988.036133
a = 88660.802474; b = 2535144.462374; cout = 8640671728447.346680
a = 88662.234657; b = 2545008.972523; cout = 8622433835948.972656
a = 88663.666840; b = 2554873.482673; cout = 8604391298492.917969
a = 88665.099023; b = 2564737.992822; cout = 8586544116079.178711
a = 88666.531206; b = 2574602.502972; cout = 8568892288707.758789
a = 88667.963389; b = 2584467.013121; cout = 8551435816378.660156
a = 88669.395572; b = 2594331.523270; cout = 8534174699091.875977
a = 88670.827755; b = 2604196.033420; cout = 8517108936847.408203
a = 88672.259938; b = 2614060.543569; cout = 8500238529645.261719
a = 88673.692121; b = 2623925.053718; cout = 8483563477485.432617
a = 88675.124304; b = 2633789.563868; cout = 8467083780367.920898
a = 88676.556487; b = 2643654.074017; cout = 8450799438292.730469
a = 88677.988670; b = 2653518.584167; cout = 8434710451259.848633
a = 88679.420853; b = 2663383.094316; cout = 8418816819269.294922
a = 88680.853036; b = 2673247.604465; cout = 8403118542321.052734
a = 88682.285219; b = 2683112.114615; cout = 8387615620415.128906
a = 88683.717402; b = 2692976.624764; cout = 8372308053551.526367
a = 88685.149585; b = 2702841.134913; cout = 8357195841730.236328
a = 88686.581768; b = 2712705.645063; cout = 8342278984951.269531
a = 88688.013951; b = 2722570.155212; cout = 8327557483214.619141
a = 88689.446134; b = 2732434.665361; cout = 8313031336520.285156
a = 88690.878317; b = 2742299.175511; cout = 8298700544868.272461
a = 88692.310500; b = 2752163.685660; cout = 8284565108258.577148
a = 88693.742683; b = 2762028.195810; cout = 8270625026691.198242
a = 88695.174866; b = 2771892.705959; cout = 8256880300166.137695
a = 88696.607049; b = 2781757.216108; cout = 8243330928683.392578
a = 88698.039232; b = 2791621.726258; cout = 8229976912242.965820
a = 88699.471415; b = 2801486.236407; cout = 8216818250844.861328
a = 88700.903598; b = 2811350.746556; cout = 8203854944489.072266
a = 88702.335781; b = 2821215.256706; cout = 8191086993175.596680
a = 88703.767964; b = 2831079.766855; cout = 8178514396904.446289
a = 88705.200147; b = 2840944.277005; cout = 8166137155675.610352
a = 88706.632330; b = 2850808.787154; cout = 8153955269489.093750
a = 88708.064513; b = 2860673.297303; cout = 8141968738344.891602
a = 88709.496696; b = 2870537.807453; cout = 8130177562243.012695
a = 88710.928879; b = 2880402.317602; cout = 8118581741183.446289
a = 88712.361062; b = 2890266.827751; cout = 8107181275166.199219
a = 88713.793245; b = 2900131.337901; cout = 8095976164191.275391
a = 88715.225428; b = 2909995.848050; cout = 8084966408258.665039
a = 88716.657611; b = 2919860.358200; cout = 8074152007368.371094
a = 88718.089794; b = 2929724.868349; cout = 8063532961520.395508
a = 88719.521977; b = 2939589.378498; cout = 8053109270714.739258
a = 88720.954160; b = 2949453.888648; cout = 8042880934951.402344
a = 88722.386343; b = 2959318.398797; cout = 8032847954230.384766
a = 88723.818526; b = 2969182.908946; cout = 8023010328551.681641
a = 88725.250709; b = 2979047.419096; cout = 8013368057915.294922
a = 88726.682892; b = 2988911.929245; cout = 8003921142321.229492
a = 88728.115075; b = 2998776.439395; cout = 7994669581769.479492
a = 88729.547258; b = 3008640.949544; cout = 7985613376260.047852
a = 88730.979440; b = 3018505.459693; cout = 7976752525792.936523
a = 88732.411623; b = 3028369.969843; cout = 7968087030368.138672
a = 88733.843806; b = 3038234.479992; cout = 7959616889985.660156
a = 88735.275989; b = 3048098.990141; cout = 7951342104645.500977
a = 88736.708172; b = 3057963.500291; cout = 7943262674347.662109
a = 88738.140355; b = 3067828.010440; cout = 7935378599092.138672
a = 88739.572538; b = 3077692.520589; cout = 7927689878878.931641
a = 88741.004721; b = 3087557.030739; cout = 7920196513708.043945
a = 88742.436904; b = 3097421.540888; cout = 7912898503579.477539
a = 88743.869087; b = 3107286.051038; cout = 7905795848493.222656
a = 88745.301270; b = 3117150.561187; cout = 7898888548449.291016
a = 88746.733453; b = 3127015.071336; cout = 7892176603447.676758
a = 88748.165636; b = 3136879.581486; cout = 7885660013488.376953
a = 88749.597819; b = 3146744.091635; cout = 7879338778571.395508
a = 88751.030002; b = 3156608.601784; cout = 7873212898696.735352
a = 88752.462185; b = 3166473.111934; cout = 7867282373864.391602
a = 88753.894368; b = 3176337.622083; cout = 7861547204074.364258
a = 88755.326551; b = 3186202.132233; cout = 7856007389326.655273
a = 88756.758734; b = 3196066.642382; cout = 7850662929621.264648
a = 88758.190917; b = 3205931.152531; cout = 7845513824958.194336
a = 88759.623100; b = 3215795.662681; cout = 7840560075337.438477
a = 88761.055283; b = 3225660.172830; cout = 7835801680759.000977
a = 88762.487466; b = 3235524.682979; cout = 7831238641222.881836
a = 88763.919649; b = 3245389.193129; cout = 7826870956729.082031
a = 88765.351832; b = 3255253.703278; cout = 7822698627277.597656
a = 88766.784015; b = 3265118.213428; cout = 7818721652868.434570
a = 88768.216198; b = 3274982.723577; cout = 7814940033501.586914
a = 88769.648381; b = 3284847.233726; cout = 7811353769177.056641
a = 88771.080564; b = 3294711.743876; cout = 7807962859894.847656
a = 88772.512747; b = 3304576.254025; cout = 7804767305654.952148
a = 88773.944930; b = 3314440.764174; cout = 7801767106457.378906
a = 88775.377113; b = 3324305.274324; cout = 7798962262302.118164
a = 88776.809296; b = 3334169.784473; cout = 7796352773189.180664
a = 88778.241479; b = 3344034.294622; cout = 7793938639118.559570
a = 88779.673662; b = 3353898.804772; cout = 7791719860090.254883
a = 88781.105845; b = 3363763.314921; cout = 7789696436104.268555
a = 88782.538028; b = 3373627.825071; cout = 7787868367160.600586
a = 88783.970211; b = 3383492.335220; cout = 7786235653259.250977
a = 88785.402394; b = 3393356.845369; cout = 7784798294400.218750
a = 88786.834577; b = 3403221.355519; cout = 7783556290583.506836
a = 88788.266760; b = 3413085.865668; cout = 7782509641809.109375
a = 88789.698943; b = 3422950.375817; cout = 7781658348077.030273
a = 88791.131126; b = 3432814.885967; cout = 7781002409387.272461
a = 88792.563309; b = 3442679.396116; cout = 7780541825739.829102
a = 88793.995492; b = 3452543.906266; cout = 7780276597134.702148
a = 88795.427675; b = 3462408.416415; cout = 7780206723571.897461
a = 88796.859858; b = 3472272.926564; cout = 7780332205051.407227
a = 88798.292041; b = 3482137.436714; cout = 7780653041573.237305
a = 88799.724224; b = 3492001.946863; cout = 7781169233137.386719
a = 88801.156406; b = 3501866.457012; cout = 7781880779743.847656
a = 88802.588589; b = 3511730.967162; cout = 7782787681392.633789
a = 88804.020772; b = 3521595.477311; cout = 7783889938083.735352
a = 88805.452955; b = 3531459.987461; cout = 7785187549817.152344
a = 88806.885138; b = 3541324.497610; cout = 7786680516592.889648
a = 88808.317321; b = 3551189.007759; cout = 7788368838410.944336
a = 88809.749504; b = 3561053.517909; cout = 7790252515271.315430
a = 88811.181687; b = 3570918.028058; cout = 7792331547174.006836
a = 88812.613870; b = 3580782.538207; cout = 7794605934119.015625
a = 88814.046053; b = 3590647.048357; cout = 7797075676106.342773
a = 88815.478236; b = 3600511.558506; cout = 7799740773135.983398
a = 88816.910419; b = 3610376.068655; cout = 7802601225207.949219
a = 88818.342602; b = 3620240.578805; cout = 7805657032322.228516
a = 88819.774785; b = 3630105.088954; cout = 7808908194478.826172
a = 88821.206968; b = 3639969.599104; cout = 7812354711677.740234
a = 88822.639151; b = 3649834.109253; cout = 7815996583918.977539
a = 88824.071334; b = 3659698.619402; cout = 7819833811202.527344
a = 88825.503517; b = 3669563.129552; cout = 7823866393528.397461
a = 88826.935700; b = 3679427.639701; cout = 7828094330896.586914
a = 88828.367883; b = 3689292.149850; cout = 7832517623307.090820
a = 88829.800066; b = 3699156.660000; cout = 7837136270759.913086
a = 88831.232249; b = 3709021.170149; cout = 7841950273255.055664
a = 88832.664432; b = 3718885.680299; cout = 7846959630792.515625
a = 88834.096615; b = 3728750.190448; cout = 7852164343372.292969
a = 88835.528798; b = 3738614.700597; cout = 7857564410994.386719
a = 88836.960981; b = 3748479.210747; cout = 7863159833658.801758
a = 88838.393164; b = 3758343.720896; cout = 7868950611365.531250
a = 88839.825347; b = 3768208.231045; cout = 7874936744114.580078
a = 88841.257530; b = 3778072.741195; cout = 7881118231905.948242
a = 88842.689713; b = 3787937.251344; cout = 7887495074739.630859
a = 88844.121896; b = 3797801.761494; cout = 7894067272615.635742
a = 88845.554079; b = 3807666.271643; cout = 7900834825533.956055
a = 88846.986262; b = 3817530.781792; cout = 7907797733494.594727
a = 88848.418445; b = 3827395.291942; cout = 7914955996497.550781
a = 88849.850628; b = 3837259.802091; cout = 7922309614542.824219
a = 88851.282811; b = 3847124.312240; cout = 7929858587630.416992
a = 88852.714994; b = 3856988.822390; cout = 7937602915760.325195
a = 88854.147177; b = 3866853.332539; cout = 7945542598932.552734
a = 88855.579360; b = 3876717.842689; cout = 7953677637147.100586
a = 88857.011543; b = 3886582.352838; cout = 7962008030403.966797
a = 88858.443726; b = 3896446.862987; cout = 7970533778703.147461
a = 88859.875909; b = 3906311.373137; cout = 7979254882044.645508
a = 88861.308092; b = 3916175.883286; cout = 7988171340428.465820
a = 88862.740275; b = 3926040.393435; cout = 7997283153854.600586
a = 88864.172458; b = 3935904.903585; cout = 8006590322323.052734
a = 88865.604641; b = 3945769.413734; cout = 8016092845833.825195
a = 88867.036824; b = 3955633.923883; cout = 8025790724386.912109
a = 88868.469007; b = 3965498.434033; cout = 8035683957982.318359
a = 88869.901190; b = 3975362.944182; cout = 8045772546620.046875
a = 88871.333372; b = 3985227.454332; cout = 8056056490300.091797
a = 88872.765555; b = 3995091.964481; cout = 8066535789022.451172
a = 88874.197738; b = 4004956.474630; cout = 8077210442787.127930
a = 88875.629921; b = 4014820.984780; cout = 8088080451594.125977
a = 88877.062104; b = 4024685.494929; cout = 8099145815443.439453
a = 88878.494287; b = 4034550.005078; cout = 8110406534335.073242
a = 88879.926470; b = 4044414.515228; cout = 8121862608269.025391
a = 88881.358653; b = 4054279.025377; cout = 8133514037245.293945
a = 88882.790836; b = 4064143.535527; cout = 8145360821263.876953
a = 88884.223019; b = 4074008.045676; cout = 8157402960324.785156
a = 88885.655202; b = 4083872.555825; cout = 8169640454428.002930
a = 88887.087385; b = 4093737.065975; cout = 8182073303573.546875
a = 88888.519568; b = 4103601.576124; cout = 8194701507761.405273
a = 88889.951751; b = 4113466.086273; cout = 8207525066991.580078
a = 88891.383934; b = 4123330.596423; cout = 8220543981264.076172
a = 88892.816117; b = 4133195.106572; cout = 8233758250578.885742
a = 88894.248300; b = 4143059.616722; cout = 8247167874936.017578
a = 88895.680483; b = 4152924.126871; cout = 8260772854335.465820
a = 88897.112666; b = 4162788.637020; cout = 8274573188777.230469
a = 88898.544849; b = 4172653.147170; cout = 8288568878261.314453
a = 88899.977032; b = 4182517.657319; cout = 8302759922787.712891
a = 88901.409215; b = 4192382.167468; cout = 8317146322356.434570
a = 88902.841398; b = 4202246.677618; cout = 8331728076967.469727
a = 88904.273581; b = 4212111.187767; cout = 8346505186620.830078
a = 88905.705764; b = 4221975.697916; cout = 8361477651316.503906
a = 88907.137947; b = 4231840.208066; cout = 8376645471054.485352
a = 88908.570130; b = 4241704.718215; cout = 8392008645834.795898
a = 88910.002313; b = 4251569.228365; cout = 8407567175657.423828
a = 88911.434496; b = 4261433.738514; cout = 8423321060522.371094
a = 88912.866679; b = 4271298.248663; cout = 8439270300429.628906
a = 88914.298862; b = 4281162.758813; cout = 8455414895379.208984
a = 88915.731045; b = 4291027.268962; cout = 8471754845371.107422
a = 88917.163228; b = 4300891.779111; cout = 8488290150405.324219
a = 88918.595411; b = 4310756.289261; cout = 8505020810481.858398
a = 88920.027594; b = 4320620.799410; cout = 8521946825600.708008
a = 88921.459777; b = 4330485.309560; cout = 8539068195761.876953
a = 88922.891960; b = 4340349.819709; cout = 8556384920965.364258
a = 88924.324143; b = 4350214.329858; cout = 8573897001211.170898
a = 88925.756326; b = 4360078.840008; cout = 8591604436499.292969
a = 88927.188509; b = 4369943.350157; cout = 8609507226829.733398
a = 88928.620692; b = 4379807.860306; cout = 8627605372202.494141
a = 88930.052875; b = 4389672.370456; cout = 8645898872617.576172
a = 88931.485058; b = 4399536.880605; cout = 8664387728074.968750
a = 88932.917241; b = 4409401.390755; cout = 8683071938574.678711
a = 88934.349424; b = 4419265.900904; cout = 8701951504116.711914
a = 88935.781607; b = 4429130.411053; cout = 8721026424701.056641
a = 88937.213790; b = 4438994.921203; cout = 8740296700327.724609
a = 88938.645973; b = 4448859.431352; cout = 8759762330996.707031
a = 88940.078156; b = 4458723.941501; cout = 8779423316708.012695
a = 88941.510338; b = 4468588.451651; cout = 8799279657461.628906
a = 88942.942521; b = 4478452.961800; cout = 8819331353257.566406
a = 88944.374704; b = 4488317.471949; cout = 8839578404095.826172
a = 88945.806887; b = 4498181.982099; cout = 8860020809976.400391
a = 88947.239070; b = 4508046.492248; cout = 8880658570899.291016
a = 88948.671253; b = 4517911.002398; cout = 8901491686864.494141
a = 88950.103436; b = 4527775.512547; cout = 8922520157872.023438
a = 88951.535619; b = 4537640.022696; cout = 8943743983921.876953
a = 88952.967802; b = 4547504.532846; cout = 8965163165014.033203
a = 88954.399985; b = 4557369.042995; cout = 8986777701148.513672
a = 88955.832168; b = 4567233.553144; cout = 9008587592325.310547
a = 88957.264351; b = 4577098.063294; cout = 9030592838544.431641
a = 88958.696534; b = 4586962.573443; cout = 9052793439805.871094
a = 88960.128717; b = 4596827.083593; cout = 9075189396109.617188
a = 88961.560900; b = 4606691.593742; cout = 9097780707455.691406
a = 88962.993083; b = 4616556.103891; cout = 9120567373844.074219
a = 88964.425266; b = 4626420.614041; cout = 9143549395274.785156
a = 88965.857449; b = 4636285.124190; cout = 9166726771747.812500
a = 88967.289632; b = 4646149.634339; cout = 9190099503263.150391
a = 88968.721815; b = 4656014.144489; cout = 9213667589820.810547
a = 88970.153998; b = 4665878.654638; cout = 9237431031420.787109
a = 88971.586181; b = 4675743.164788; cout = 9261389828063.087891
a = 88973.018364; b = 4685607.674937; cout = 9285543979747.699219
a = 88974.450547; b = 4695472.185086; cout = 9309893486474.630859
a = 88975.882730; b = 4705336.695236; cout = 9334438348243.882812
a = 88977.314913; b = 4715201.205385; cout = 9359178565055.449219
a = 88978.747096; b = 4725065.715534; cout = 9384114136909.337891
a = 88980.179279; b = 4734930.225684; cout = 9409245063805.539062
a = 88981.611462; b = 4744794.735833; cout = 9434571345744.060547
a = 88983.043645; b = 4754659.245982; cout = 9460092982724.894531
a = 88984.475828; b = 4764523.756132; cout = 9485809974748.048828
a = 88985.908011; b = 4774388.266281; cout = 9511722321813.533203
a = 88987.340194; b = 4784252.776431; cout = 9537830023921.324219
a = 88988.772377; b = 4794117.286580; cout = 9564133081071.435547
a = 88990.204560; b = 4803981.796729; cout = 9590631493263.863281
a = 88991.636743; b = 4813846.306879; cout = 9617325260498.607422
a = 88993.068926; b = 4823710.817028; cout = 9644214382775.677734
a = 98471.745688; b = 1972868.816043; cout = 9633882527711.332031
a = 98473.177871; b = 1982733.326192; cout = 9607345860505.742188
a = 98474.610054; b = 1992597.836342; cout = 9581004548342.474609
a = 98476.042237; b = 2002462.346491; cout = 9554858591221.525391
a = 98477.474420; b = 2012326.856640; cout = 9528907989142.886719
a = 98478.906603; b = 2022191.366790; cout = 9503152742106.570312
a = 98480.338786; b = 2032055.876939; cout = 9477592850112.576172
a = 98481.770969; b = 2041920.387089; cout = 9452228313160.896484
a = 98483.203152; b = 2051784.897238; cout = 9427059131251.535156
a = 98484.635335; b = 2061649.407387; cout = 9402085304384.492188
a = 98486.067518; b = 2071513.917537; cout = 9377306832559.765625
a = 98487.499701; b = 2081378.427686; cout = 9352723715777.357422
a = 98488.931884; b = 2091242.937835; cout = 9328335954037.267578
a = 98490.364067; b = 2101107.447985; cout = 9304143547339.496094
a = 98491.796250; b = 2110971.958134; cout = 9280146495684.039062
a = 98493.228433; b = 2120836.468283; cout = 9256344799070.902344
a = 98494.660616; b = 2130700.978433; cout = 9232738457500.082031
a = 98496.092799; b = 2140565.488582; cout = 9209327470971.583984
a = 98497.524982; b = 2150429.998732; cout = 9186111839485.398438
a = 98498.957165; b = 2160294.508881; cout = 9163091563041.535156
a = 98500.389348; b = 2170159.019030; cout = 9140266641639.988281
a = 98501.821531; b = 2180023.529180; cout = 9117637075280.755859
a = 98503.253714; b = 2189888.039329; cout = 9095202863963.845703
a = 98504.685897; b = 2199752.549478; cout = 9072964007689.250000
a = 98506.118080; b = 2209617.059628; cout = 9050920506456.978516
a = 98507.550263; b = 2219481.569777; cout = 9029072360267.019531
a = 98508.982446; b = 2229346.079927; cout = 9007419569119.376953
a = 98510.414629; b = 2239210.590076; cout = 8985962133014.056641
a = 98511.846811; b = 2249075.100225; cout = 8964700051951.050781
a = 98513.278994; b = 2258939.610375; cout = 8943633325930.369141
a = 98514.711177; b = 2268804.120524; cout = 8922761954951.998047
a = 98516.143360; b = 2278668.630673; cout = 8902085939015.949219
a = 98517.575543; b = 2288533.140823; cout = 8881605278122.214844
a = 98519.007726; b = 2298397.650972; cout = 8861319972270.800781
a = 98520.439909; b = 2308262.161122; cout = 8841230021461.703125
a = 98521.872092; b = 2318126.671271; cout = 8821335425694.923828
a = 98523.304275; b = 2327991.181420; cout = 8801636184970.466797
a = 98524.736458; b = 2337855.691570; cout = 8782132299288.324219
a = 98526.168641; b = 2347720.201719; cout = 8762823768648.498047
a = 98527.600824; b = 2357584.711868; cout = 8743710593050.989258
a = 98529.033007; b = 2367449.222018; cout = 8724792772495.802734
a = 98530.465190; b = 2377313.732167; cout = 8706070306982.930664
a = 98531.897373; b = 2387178.242316; cout = 8687543196512.375977
a = 98533.329556; b = 2397042.752466; cout = 8669211441084.142578
a = 98534.761739; b = 2406907.262615; cout = 8651075040698.224609
a = 98536.193922; b = 2416771.772765; cout = 8633133995354.627930
a = 98537.626105; b = 2426636.282914; cout = 8615388305053.344727
a = 98539.058288; b = 2436500.793063; cout = 8597837969794.376953
a = 98540.490471; b = 2446365.303213; cout = 8580482989577.735352
a = 98541.922654; b = 2456229.813362; cout = 8563323364403.406250
a = 98543.354837; b = 2466094.323511; cout = 8546359094271.399414
a = 98544.787020; b = 2475958.833661; cout = 8529590179181.706055
a = 98546.219203; b = 2485823.343810; cout = 8513016619134.332031
a = 98547.651386; b = 2495687.853960; cout = 8496638414129.277344
a = 98549.083569; b = 2505552.364109; cout = 8480455564166.537109
a = 98550.515752; b = 2515416.874258; cout = 8464468069246.118164
a = 98551.947935; b = 2525281.384408; cout = 8448675929368.014648
a = 98553.380118; b = 2535145.894557; cout = 8433079144532.230469
a = 98554.812301; b = 2545010.404706; cout = 8417677714738.762695
a = 98556.244484; b = 2554874.914856; cout = 8402471639987.616211
a = 98557.676667; b = 2564739.425005; cout = 8387460920278.782227
a = 98559.108850; b = 2574603.935155; cout = 8372645555612.268555
a = 98560.541033; b = 2584468.445304; cout = 8358025545988.077148
a = 98561.973216; b = 2594332.955453; cout = 8343600891406.200195
a = 98563.405399; b = 2604197.465603; cout = 8329371591866.642578
a = 98564.837582; b = 2614061.975752; cout = 8315337647369.400391
a = 98566.269765; b = 2623926.485901; cout = 8301499057914.477539
a = 98567.701948; b = 2633790.996051; cout = 8287855823501.873047
a = 98569.134131; b = 2643655.506200; cout = 8274407944131.586914
a = 98570.566314; b = 2653520.016350; cout = 8261155419803.616211
a = 98571.998497; b = 2663384.526499; cout = 8248098250517.963867
a = 98573.430680; b = 2673249.036648; cout = 8235236436274.628906
a = 98574.862863; b = 2683113.546798; cout = 8222569977073.613281
a = 98576.295046; b = 2692978.056947; cout = 8210098872914.918945
a = 98577.727229; b = 2702842.567096; cout = 8197823123798.537109
a = 98579.159412; b = 2712707.077246; cout = 8185742729724.475586
a = 98580.591595; b = 2722571.587395; cout = 8173857690692.731445
a = 98582.023777; b = 2732436.097544; cout = 8162168006703.305664
a = 98583.455960; b = 2742300.607694; cout = 8150673677756.200195
a = 98584.888143; b = 2752165.117843; cout = 8139374703851.409180
a = 98586.320326; b = 2762029.627993; cout = 8128271084988.936523
a = 98587.752509; b = 2771894.138142; cout = 8117362821168.782227
a = 98589.184692; b = 2781758.648291; cout = 8106649912390.946289
a = 98590.616875; b = 2791623.158441; cout = 8096132358655.428711
a = 98592.049058; b = 2801487.668590; cout = 8085810159962.224609
a = 98593.481241; b = 2811352.178739; cout = 8075683316311.342773
a = 98594.913424; b = 2821216.688889; cout = 8065751827702.781250
a = 98596.345607; b = 2831081.199038; cout = 8056015694136.534180
a = 98597.777790; b = 2840945.709188; cout = 8046474915612.603516
a = 98599.209973; b = 2850810.219337; cout = 8037129492130.991211
a = 98600.642156; b = 2860674.729486; cout = 8027979423691.699219
a = 98602.074339; b = 2870539.239636; cout = 8019024710294.724609
a = 98603.506522; b = 2880403.749785; cout = 8010265351940.068359
a = 98604.938705; b = 2890268.259934; cout = 8001701348627.727539
a = 98606.370888; b = 2900132.770084; cout = 7993332700357.706055
a = 98607.803071; b = 2909997.280233; cout = 7985159407130.003906
a = 98609.235254; b = 2919861.790383; cout = 7977181468944.619141
a = 98610.667437; b = 2929726.300532; cout = 7969398885801.549805
a = 98612.099620; b = 2939590.810681; cout = 7961811657700.799805
a = 98613.531803; b = 2949455.320831; cout = 7954419784642.372070
a = 98614.963986; b = 2959319.830980; cout = 7947223266626.252930
a = 98616.396169; b = 2969184.341129; cout = 7940222103652.457031
a = 98617.828352; b = 2979048.851279; cout = 7933416295720.982422
a = 98619.260535; b = 2988913.361428; cout = 7926805842831.824219
a = 98620.692718; b = 2998777.871577; cout = 7920390744984.979492
a = 98622.124901; b = 3008642.381727; cout = 7914171002180.453125
a = 98623.557084; b = 3018506.891876; cout = 7908146614418.249023
a = 98624.989267; b = 3028371.402026; cout = 7902317581698.359375
a = 98626.421450; b = 3038235.912175; cout = 7896683904020.791016
a = 98627.853633; b = 3048100.422324; cout = 7891245581385.537109
a = 98629.285816; b = 3057964.932474; cout = 7886002613792.603516
a = 98630.717999; b = 3067829.442623; cout = 7880955001241.986328
a = 98632.150182; b = 3077693.952772; cout = 7876102743733.687500
a = 98633.582365; b = 3087558.462922; cout = 7871445841267.706055
a = 98635.014548; b = 3097422.973071; cout = 7866984293844.042969
a = 98636.446731; b = 3107287.483221; cout = 7862718101462.697266
a = 98637.878914; b = 3117151.993370; cout = 7858647264123.670898
a = 98639.311097; b = 3127016.503519; cout = 7854771781826.962891
a = 98640.743280; b = 3136881.013669; cout = 7851091654572.571289
a = 98642.175463; b = 3146745.523818; cout = 7847606882360.499023
a = 98643.607646; b = 3156610.033967; cout = 7844317465190.741211
a = 98645.039829; b = 3166474.544117; cout = 7841223403063.305664
a = 98646.472012; b = 3176339.054266; cout = 7838324695978.185547
a = 98647.904195; b = 3186203.564416; cout = 7835621343935.387695
a = 98649.336378; b = 3196068.074565; cout = 7833113346934.902344
a = 98650.768560; b = 3205932.584714; cout = 7830800704976.732422
a = 98652.200743; b = 3215797.094864; cout = 7828683418060.886719
a = 98653.632926; b = 3225661.605013; cout = 7826761486187.357422
a = 98655.065109; b = 3235526.115162; cout = 7825034909356.144531
a = 98656.497292; b = 3245390.625312; cout = 7823503687567.250000
